date,facility_id,facility_name,facility_type,latitude,longitude,medicine_id,medicine_name,opening_stock,received_quantity,dispensed_quantity,closing_stock,days_since_restock,stockout_next_3_days
2024-01-01,F001,Synthetic District Hospital F001,District Hospital,12.9716,77.5946,M001,Paracetamol 500mg,826,0,131,695,2,0
2024-01-01,F001,Synthetic District Hospital F001,District Hospital,12.9716,77.5946,M002,Amoxicillin 500mg,438,0,83,355,4,0
2024-01-01,F001,Synthetic District Hospital F001,District Hospital,12.9716,77.5946,M003,Metformin 500mg,623,0,86,537,6,0
2024-01-01,F001,Synthetic District Hospital F001,District Hospital,12.9716,77.5946,M004,Amlodipine 5mg,391,0,71,320,6,0
2024-01-01,F001,Synthetic District Hospital F001,District Hospital,12.9716,77.5946,M005,Azithromycin 500mg,385,0,62,323,5,0
2024-01-01,F001,Synthetic District Hospital F001,District Hospital,12.9716,77.5946,M006,Cetirizine 10mg,275,0,64,211,5,0
2024-01-01,F001,Synthetic District Hospital F001,District Hospital,12.9716,77.5946,M007,Omeprazole 20mg,378,0,44,334,6,0
2024-01-01,F001,Synthetic District Hospital F001,District Hospital,12.9716,77.5946,M008,ORS,590,0,137,453,5,0
2024-01-01,F001,Synthetic District Hospital F001,District Hospital,12.9716,77.5946,M009,Ibuprofen 400mg,426,0,90,336,3,0
2024-01-01,F001,Synthetic District Hospital F001,District Hospital,12.9716,77.5946,M010,Atorvastatin 10mg,164,0,26,138,2,1
2024-01-01,F002,Synthetic District Hospital F002,District Hospital,12.925,77.5897,M001,Paracetamol 500mg,737,0,101,636,5,0
2024-01-01,F002,Synthetic District Hospital F002,District Hospital,12.925,77.5897,M002,Amoxicillin 500mg,278,0,91,187,5,0
2024-01-01,F002,Synthetic District Hospital F002,District Hospital,12.925,77.5897,M003,Metformin 500mg,358,0,99,259,3,0
2024-01-01,F002,Synthetic District Hospital F002,District Hospital,12.925,77.5897,M004,Amlodipine 5mg,249,0,59,190,2,0
2024-01-01,F002,Synthetic District Hospital F002,District Hospital,12.925,77.5897,M005,Azithromycin 500mg,322,0,49,273,6,0
2024-01-01,F002,Synthetic District Hospital F002,District Hospital,12.925,77.5897,M006,Cetirizine 10mg,282,0,43,239,5,0
2024-01-01,F002,Synthetic District Hospital F002,District Hospital,12.925,77.5897,M007,Omeprazole 20mg,372,0,49,323,3,0
2024-01-01,F002,Synthetic District Hospital F002,District Hospital,12.925,77.5897,M008,ORS,668,0,119,549,5,0
2024-01-01,F002,Synthetic District Hospital F002,District Hospital,12.925,77.5897,M009,Ibuprofen 400mg,401,0,65,336,2,0
2024-01-01,F002,Synthetic District Hospital F002,District Hospital,12.925,77.5897,M010,Atorvastatin 10mg,153,0,44,109,3,0
2024-01-01,F003,Synthetic CHC F003,CHC,12.98,77.64,M001,Paracetamol 500mg,488,0,73,415,3,0
2024-01-01,F003,Synthetic CHC F003,CHC,12.98,77.64,M002,Amoxicillin 500mg,277,0,56,221,2,0
2024-01-01,F003,Synthetic CHC F003,CHC,12.98,77.64,M003,Metformin 500mg,363,0,51,312,6,0
2024-01-01,F003,Synthetic CHC F003,CHC,12.98,77.64,M004,Amlodipine 5mg,212,0,40,172,4,0
2024-01-01,F003,Synthetic CHC F003,CHC,12.98,77.64,M005,Azithromycin 500mg,195,0,37,158,6,0
2024-01-01,F003,Synthetic CHC F003,CHC,12.98,77.64,M006,Cetirizine 10mg,231,0,42,189,4,0
2024-01-01,F003,Synthetic CHC F003,CHC,12.98,77.64,M007,Omeprazole 20mg,144,0,45,99,2,0
